trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-90.38234298793512,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-155.25509087216068,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-77.04288656162171,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-138.07944052566762,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-68.40498349993614,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-225.20429895710419,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-52.5876769528453,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-146.981104836193,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-127.59381905420997,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-122.91439969337561,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-57.43202235324633,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-159.49643778430732,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-93.43081663709646,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,3,-27.2105453184296,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,6,-119.77667418022679,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-117.4692178433091,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-85.79928284023853,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-112.47507462633995,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
