trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.01152520782395,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.12461864013697,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.90085728700332,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.9353495504879,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.3218521337947,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.982914717053,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.1504587333355,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.21580175352292,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-128.02182660464013,"{0: 27, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.34723145720244,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.88409005103274,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.81827867473382,"{0: 7, 1: 0, 2: 9, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,16,6.945241121207487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.71043765041884,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.63860975263022,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.71160932622539,"{0: 13, 1: 4, 2: 8, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-235.79072564727238,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-233.29167721055717,"{0: 19, 1: 8, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.98468917959767,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.12218687718453,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.82235397127326,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.75500893167037,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-224.03510730703866,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.04185756321624,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.5536124208333,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-104.93712323024504,"{0: 19, 1: 5, 2: 2, 3: 4, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.95988428334186,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.65984270974664,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.909655976633923,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.7818110315535,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
